banda,Popularity,nome,tempo,Energy,Liveness,userId,Acousticness,instrumentalness,Valence,idMusica,Id,Danceability
Bhaskar,59.0,Infinito Particular - Bhaskar Remix,125.994,0.659,0.121,10208546854389224,0.141,0.00379,0.323,72jW7XpxlhT95QVLPLbsBm,,0.764
Meiko,41.0,Reasons To Love You,94.391,0.18,0.133,10208546854389224,0.88,8e-05,0.467,4wNFFRLo7EnEdbf2eoFLEU,,0.561
Avicii,65.0,For A Better Day,134.987,0.836,0.135,10208546854389224,0.0482,0.139,0.321,3c3XJ9P1BjOtmNXKvdVyHK,,0.631
Lukas Graham,81.0,7 Years,119.992,0.473,0.391,10208546854389224,0.287,0.0,0.34,5kqIPrATaCc2LqxVWzQGbk,,0.765
The Fox,29.0,The Fox,127.982,0.867,0.105,10208546854389224,0.037,0.0,0.437,6gRVeE7nqIFHzMIEDauySP,,0.69
Meiko,18.0,Said And Done,73.792,0.379,0.123,10208546854389224,0.369,0.0487,0.153,076MFr4lmtWqgswWoIDGK1,,0.264
Daft Punk,31.0,End of Line - Remixed by Photek,98.03,0.801,0.34,10208546854389224,0.00163,0.00322,0.51,1Gxil8Re6Vljq3JYFnLWoT,,0.577
Avicii,48.0,Ten More Days,137.981,0.668,0.098,10208546854389224,0.0217,1e-05,0.299,37aStseEdbd33KlmUlIHX6,,0.585
Katy Perry,80.0,Swish Swish,119.938,0.716,0.101,10208546854389224,0.0196,2e-05,0.534,2kVHAQKVtczchKctctzbtK,,0.836
Bhaskar,62.0,This City,124.013,0.525,0.122,10208546854389224,0.508,0.0186,0.46,0hPI50BO2ExTbGCg6RhX21,,0.839
League of Legends,75.0,Legends Never Die (feat. Against the Current),140.078,0.598,0.111,10208546854389224,0.00786,0.0,0.0573,04pjfS3YIK6gXjxi1zHeZa,,0.498
Enrique Iglesias,82.0,SUBEME LA RADIO,91.048,0.823,0.111,10208546854389224,0.0744,0.0,0.647,7nKBxz47S9SD79N086fuhn,,0.684
Luis Fonsi,87.0,Despacito - Remix,88.931,0.815,0.0924,10208546854389224,0.229,0.0,0.813,5CtI0qwDJkDQGwXD1H1cLb,,0.694
Cacife Clandestino,59.0,Aquário,89.898,0.574,0.0881,10208546854389224,0.155,0.0,0.611,1HQoGpPJ8ye2BEavUqdnF9,,0.838
Jeremih,67.0,Birthday Sex,60.019,0.523,0.15,10208546854389224,0.295,0.0,0.446,4Q3TpOXEJZY04PwDDqrAeb,,0.677
Red Hot Chili Peppers,74.0,Scar Tissue,88.969,0.717,0.108,10208546854389224,0.0779,0.00274,0.547,1G391cbiT3v3Cywg8T7DM1,,0.595
João Bosco & Vinicius,54.0,"Chora, Me Liga - Ao Vivo",98.102,0.905,0.831,10208546854389224,0.257,0.0,0.636,1NpD7cQH8hGMZrufOQQ0Xk,,0.682
Avicii,73.0,Waiting For Love,128.081,0.741,0.142,10208546854389224,0.298,0.0,0.581,6nsLzJfvp5OLd4mgqUJkpq,,0.577
Alok,74.0,Fuego,122.012,0.643,0.112,10208546854389224,0.135,0.812,0.325,7ac8sivblLQjsQipO5FZ63,,0.72
Mc Guime,42.0,Na Pista Eu Arraso,78.833,0.875,0.14,10208546854389224,0.113,0.0,0.764,4O9rqYhONdEG45NA0WULsa,,0.619
Enrique Iglesias,57.0,Bailando - Spanish Version,90.95,0.788,0.033,10208546854389224,0.047,0.0,0.957,3LbzMtkyPGcHc6IzyKclFO,,0.72
Legião Urbana,38.0,Acrilic On Canvas,144.378,0.464,0.115,10208546854389224,0.094,0.264,0.726,0pBYqzJf83ilL7LSe8GATw,,0.66
Caetano Veloso,59.0,O Quereres,91.001,0.59,0.0813,10208546854389224,0.664,0.0,0.676,3BO2qQ8AwhdWVTZcUYHo2o,,0.794
Enrique Iglesias,77.0,DUELE EL CORAZON,90.999,0.904,0.226,10208546854389224,0.0786,0.0,0.846,6YZdkObH88npeKrrkb8Ggf,,0.724
Hozier,61.0,Work Song,177.549,0.388,0.112,10208546854389224,0.776,0.0,0.256,3UfCFlGruX0DRPCpD1V3pU,,0.432
Justin Timberlake,65.0,SexyBack,117.0,0.583,0.0519,10208546854389224,0.0584,0.0,0.964,40VAYnnGBDLQVXD8D1ager,,0.967
Elvis Presley,68.0,Hound Dog,174.797,0.756,0.76,10208546854389224,0.733,0.00505,0.95,64Ny7djQ6rNJspquof2KoX,,0.357
Alcione,49.0,Você Me Vira A Cabeça (Me Tira Do Sério),181.914,0.445,0.101,10208546854389224,0.592,0.0,0.262,4ZVxlTOQoTRImsq6RF5raw,,0.43
Tove Lo,44.0,Fairy Dust - Chapter I,104.516,0.128,0.164,10208546854389224,0.677,0.822,0.113,5uqtHww30G9gqXYgCI7Fss,,0.3
Tove Lo,70.0,Cool Girl,102.022,0.71,0.074,10208546854389224,0.335,0.0,0.233,5dKyZWlgjWw1oJgLa4GCZD,,0.671
Sometymes Why,35.0,Too Repressed - Explicit,79.556,0.163,0.113,10208546854389224,0.929,0.00074,0.213,1AWEQLm9bwhEMj2sxpeSJx,,0.579
Arctic Monkeys,74.0,Do I Wanna Know?,85.032,0.532,0.218,10208546854389224,0.174,0.00034,0.41,2UzMpPKPhbcC8RbsmuURAZ,,0.55
Justin Timberlake,73.0,Mirrors,76.899,0.512,0.0946,10208546854389224,0.234,0.0,0.512,4rHZZAmHpZrA3iH5zx8frV,,0.574
Luan Estilizado,43.0,Espumas Ao Vento,168.013,0.671,0.157,10208546854389224,0.631,0.0,0.861,4HaOYHalzyGRR0cggwYQ4h,,0.628
Jeff Buckley,71.0,Hallelujah,101.213,0.143,0.372,10208546854389224,0.921,0.00063,0.0948,74X1epeRufHckhuX1KFD04,,0.339
Justin Timberlake,44.0,What Goes Around.../...Comes Around (Interlude),76.0,0.723,0.573,10208546854389224,0.122,0.00102,0.432,1JukT6K5k6QKFCysc5G8kv,,0.687
